"Latitude","Longitude","deviceSignalStrength","latencyAverage","downloadSpeed","uploadSpeed"
"36.99","-104.48",-82,747,131.88,0
"37.01","-104.48",-81,331.7333333333,184.97,115.46
"37.02","-104.49",-64,262.4,1724.43,242.38
"37.02","-104.5",-64,218.8,1664.72,251.52
"37.02","-107.44",-92,232,,
"37.02","-107.45",-92,,0,0
"37.02","-107.47",-101,253,990.48,83.28
"37.02","-107.49",-92,236,,
"37.02","-107.87",-91,754.33,930.82,89.35
"37.02","-107.88",-97,167.13,1429.36,324.95
"37.03","-104.5",-72,,268.86,96.945
"37.03","-104.51",-56,231.3,1998.785,246.6
"37.03","-107.52",-101,276,,
"37.03","-107.87",-102,162,,
"37.04","-104.51",-76.4,,,
"37.04","-107.53",-92,212,500.64,84.24
"37.04","-107.87",-83,153.99,4530.13,313.12
"37.05","-104.52",-113,812,0,63.81
"37.05","-107.86",-85.5,220.975,1364.545,815.29
"37.05","-107.87",-113,212,,
"37.06","-104.52",-89,232.9,242.825,86.89
"37.06","-106.05",-53,218.8,773.8,221.21
"37.06","-106.07",-43,253,851.34,231.71
"37.06","-107.87",-113,181,,
"37.07","-104.51",-71.3333333333,214.5333333333,229.3366666667,98.4633333333
"37.07","-106",-98.5,675,130.625,0
"37.07","-106.01",-69,240.8,446.89,160.7
"37.07","-107.59",-76,212,29.28,20.13
"37.07","-107.6",-97,400.7,92.69,169.43
"37.07","-107.87",-95,194.38,1125.58,91.12
"37.08","-107.53",-92,,,
"37.08","-107.8",-93,164.49,3085.38,97.17
"37.08","-107.86",-88,223.94,4602.61,1441.3
"37.09","-107.86",-97,182.57,370.15,363.89
"37","-104.48",-67.5,232.8,628.695,176.075
"37","-105.34",,,13.86,14.6
"37.1","-104.52",-76.2857142857,,,
"37.1","-107.75",-93,240.03,195.59,222.59
"37.1","-107.86",,279.6,,
"37.11","-104.52",-79.25,250.05,209.8,92.9075
"37.11","-106",-84,740.6,122.86,0
"37.11","-107.63",-85.2,255.531,937.877,491.802
"37.11","-107.86",-87,210.365,935.195,403.21
"37.11","-108.16",-113,172,,
"37.11","-108.19",-75,180,,
"37.12","-104.52",-99,218.8,233,45
"37.12","-107.61",-92,173,,
"37.12","-107.62",-101,274,,
"37.12","-107.63",-86.2857142857,409.3471428571,923.2885714286,817.6164285714
"37.12","-107.86",-84,90.91,1334.41,716.7
"37.12","-108.19",-89,1361,,
"37.13","-104.51",-72.25,385.1,321.7175,75.15
"37.13","-104.52",-78.5238095238,328.8285714286,,
"37.13","-107.63",,248.595,622.055,603.76
"37.13","-107.76",-93,180.2,1541.29,317.87
"37.13","-107.78",-93,156.45,1242.49,70.95
"37.13","-107.85",-90,,,
"37.13","-108.13",-75,188,,
"37.14","-104.51",-97,215.6,253.78,57.29
"37.14","-104.52",-76,211.75,466.0925,96.53
"37.14","-107.63",-84.25,186.07,,
"37.14","-107.75",-93,182.58,671.07,17.94
"37.14","-108.12",-113,232,6280.64,1522.36
"37.14","-108.22",-113,256,3107.06,1648.83
"37.15","-104.51",-80,217.4571428571,522.1171428571,150.4828571429
"37.15","-104.52",-74.6666666667,197.8666666667,789.53,243.64
"37.15","-107.58",-101,1082,23.44,15.39
"37.15","-107.63",-95,104.96,650.69,120.26
"37.15","-107.75",,268.295,1158.6275,1060.64
"37.15","-107.86",-113,,,
"37.16","-103.8",-77,,934.84,115.74
"37.16","-104.49",-73.8571428571,271.9142857143,383.4428571429,159.2757142857
"37.16","-104.51",-78.5,320.18,,
"37.16","-104.52",-79.3636363636,232.6727272727,315.5818181818,105.0681818182
"37.16","-105.94",-37,253.2,753.11,195.7
"37.16","-105.99",-82,253.2,286.81,99.02
"37.16","-107.33",-102,4233.5,56.69,0
"37.16","-107.65",-92,319,137.79,45.83
"37.16","-107.7",,448.365,,
"37.16","-107.75",,,342.2790909091,1456.2663636364
"37.16","-107.84",-83,151.95,3425.85,63.81
"37.16","-107.85",-94,187.385,1175.045,199.865
"37.17","-104.48",-83,190.8,2193.29,241.9
"37.17","-104.49",-73,356.3333333333,309.3833333333,82.2766666667
"37.17","-104.5",-77.25,352.625,,
"37.17","-104.51",-70.2,334.88,138.118,128.052
"37.17","-105.93",-76,613.6,460.2166666667,79.65
"37.17","-105.97",-45,225,1527.43,211.47
"37.17","-105.98",-95.5,1156.3,17.675,0
"37.17","-107.67",,117.76,429.23,73.47
"37.17","-107.73",-89,571.55,93.29,59.63
"37.17","-107.75",-93,353.24,7907.74,1291.54
"37.18","-103.7",-77,266.68,3414.99,1209.83
"37.18","-104.48",-65,223.4,1077.365,215.095
"37.18","-104.49",-69,222.7344444444,700.0866666667,205.9411111111
"37.18","-107.57",-90,2671,,
"37.18","-107.6",-93,488.42,113.98,143.79
"37.18","-107.62",,471.95,210.82,132.24
"37.18","-107.64",-91,584.21,169.38,11.885
"37.18","-107.75",-111,,61.445,46.785
"37.18","-107.78",,273.3490384615,1739.725,536.7432692308
"37.18","-107.8",-91,303.79,3478.93,304.23
"37.18","-107.85",-99,252.565,217.67,254.985
"37.18","-108.48",,,0,0
"37.18","-108.69",-65,388.575,155.37,262.11
"37.19","-104.49",-59.6666666667,408.7033333333,684.31,157.9133333333
"37.19","-104.56",,,1105.98,334.06
"37.19","-105.98",-66,209.4,392.22,244.26
"37.19","-107.64",-103,1533.02,149.75,112.28
"37.19","-107.75",,277.05,586.2,161.7533333333
"37.19","-107.76",-89,192.97,2214.51,283.02
"37.19","-107.77",-85.6666666667,418.65,,
"37.19","-107.78",-88.3333333333,170.7711111111,1698.8844444444,896.36
"37.19","-107.79",,204.7533333333,640.23,342.9166666667
"37.19","-107.8",-83,141.48,5595.57,227.61
"37.19","-107.82",-82,224,578.94,67.09
"37.19","-107.85",-91.5,190.66,,
"37.19","-108.05",-95,239.69,0,34.39
"37.19","-108.06",-113,148,,
"37.19","-108.07",-107,276,4586.17,1582.86
"37.19","-108.68",-75,,,
"37.2","-104.49",-75,208.7825,622.6775,534.945
"37.2","-105.42",-75,,,
"37.2","-105.97",-81,218.6,487.09,203.99
"37.2","-107.25",-83,403.75,1.11,23.28
"37.2","-107.3",,1066.4,93.01,0
"37.2","-107.31",-68,470.4,61.45,0
"37.2","-107.32",,,0,0
"37.2","-107.33",,,,
"37.2","-107.78",,444.945,392.34,318.285
"37.2","-107.79",-87,298.628,2531.724,789.058
"37.2","-107.82",-89,198,1171.09,90.05
"37.2","-107.84",-106,279.4,422.41,14.39
"37.2","-107.85",-101,1105.21,796.24,25.05
"37.2","-107.86",-89.7142857143,190.2857142857,,
"37.2","-108.02",,78.26,814.83,481.16
"37.21","-103.58",-77,201.48,1944,419.36
"37.21","-104.49",-69,183.4,912.71,185.355
"37.21","-105.97",-61,245.3,817.05,245.67
"37.21","-107.05",-71,367.61,88.5,154.06
"37.21","-107.23",,1735.3,34.48,28.265
"37.21","-107.26",-73,465.145,98.86,26.53
"37.21","-107.58",,217.16,1781.07,913.61
"37.21","-107.59",-90,368,43.57,17.77
"37.21","-107.63",-96.5,,,
"37.21","-107.64",,,739.74,205.7775
"37.21","-107.65",-96.5,863.745,37.81,4.21
"37.21","-107.71",-87,1978.0133333333,229.6266666667,112.5
"37.21","-107.79",,,1542.9028205128,512.1871794872
"37.21","-107.8",-97.5,272.615,170.18,159.135
"37.21","-107.81",-87,358.665,2700.705,1108.19
"37.21","-107.82",-91,611,,
"37.21","-107.83",-96,237.56,99.06,7.13
"37.21","-107.84",-81,293,,
"37.21","-107.85",,277.3875,,
"37.21","-107.86",-96,221,1274.47,72.71
